 Lambda  Total   C+S2     S+CS     CS+S     S2+C     CS2+     CS/S     CS/S1D   tCS/S    A1CS/S  
 2011.0 4.20E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.80E-16 1.40E-16 0.00E+00 0.00E+00
 2013.0 1.50E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-16 5.00E-17 0.00E+00 0.00E+00
 2015.0 5.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.34E-17 1.66E-17 0.00E+00 0.00E+00
 2022.0 1.50E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-16 5.00E-17 0.00E+00 0.00E+00
 2026.0 2.60E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.73E-16 8.66E-17 0.00E+00 0.00E+00
 2028.0 1.50E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-16 5.00E-17 0.00E+00 0.00E+00
 2032.0 4.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.00E-17 1.50E-17 0.00E+00 0.00E+00
 2037.0 6.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.00E-17 2.00E-17 0.00E+00 0.00E+00
 2040.0 1.80E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.20E-16 5.99E-17 0.00E+00 0.00E+00
 2045.0 1.50E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-16 5.00E-17 0.00E+00 0.00E+00
 2050.0 3.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.33E-17 1.17E-17 0.00E+00 0.00E+00
 2058.0 1.50E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-16 5.00E-17 0.00E+00 0.00E+00
 2060.0 1.05E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.00E-17 3.50E-17 0.00E+00 0.00E+00
 2063.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.33E-17 6.66E-18 0.00E+00 0.00E+00
 2072.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.33E-17 6.66E-18 0.00E+00 0.00E+00
 2076.0 5.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.67E-17 1.83E-17 0.00E+00 0.00E+00
 2080.0 2.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.67E-17 8.32E-18 0.00E+00 0.00E+00
 2082.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.33E-17 6.66E-18 0.00E+00 0.00E+00
 2088.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.33E-17 6.66E-18 0.00E+00 0.00E+00
 2095.0 2.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.67E-17 8.32E-18 0.00E+00 0.00E+00
 2100.0 1.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-17 4.99E-18 0.00E+00 0.00E+00
 2110.0 1.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-17 4.99E-18 0.00E+00 0.00E+00
 2118.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.33E-17 6.66E-18 0.00E+00 0.00E+00
 2120.0 1.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.67E-18 3.33E-18 0.00E+00 0.00E+00
 2135.0 2.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.33E-17 6.66E-18 0.00E+00 0.00E+00
 2200.0 5.00E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.34E-18 1.67E-18 0.00E+00 0.00E+00
 2300.0 1.00E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-18 0.00E+00 0.00E+00 0.00E+00
 2700.0 1.00E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-20 0.00E+00 0.00E+00 0.00E+00
 2778.0 1.00E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-20 0.00E+00 0.00E+00 0.00E+00
