 Lambda  Total   C+SO     O+CS     CO+S     S+CO     CS+O     COS+     CO/S1S   CS/O     CO/S1D   CS/O1D   CO/S    
 1359.0 1.45E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.45E-17 0.00E+00 0.00E+00 1.31E-16 0.00E+00
 1368.0 3.53E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.53E-19 0.00E+00 0.00E+00 3.18E-18 0.00E+00
 1372.0 1.08E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.08E-17 0.00E+00 0.00E+00 9.72E-17 0.00E+00
 1380.0 1.86E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.86E-19 0.00E+00 0.00E+00 1.67E-18 0.00E+00
 1384.0 9.30E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.30E-18 0.00E+00 0.00E+00 8.37E-17 0.00E+00
 1392.0 2.42E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.42E-19 0.00E+00 0.00E+00 2.18E-18 0.00E+00
 1400.0 3.35E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.35E-17 0.00E+00 0.00E+00 3.02E-16 0.00E+00
 1408.0 1.75E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.16E-18 0.00E+00 0.00E+00 5.95E-19 0.00E+00
 1410.0 5.58E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.46E-17 0.00E+00 0.00E+00 1.12E-17 0.00E+00
 1420.0 2.16E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.75E-18 0.00E+00 0.00E+00 0.00E+00 4.09E-19
 1430.0 1.23E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.01E-17 0.00E+00 0.00E+00 0.00E+00 2.20E-18
 1434.0 4.84E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.99E-18 0.00E+00 0.00E+00 0.00E+00 8.46E-19
 1440.0 2.23E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.85E-17 0.00E+00 0.00E+00 0.00E+00 3.76E-18
 1450.0 7.63E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.43E-18 0.00E+00 0.00E+00 0.00E+00 1.20E-18
 1455.0 6.70E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.68E-17 0.00E+00 0.00E+00 0.00E+00 1.02E-17
 1465.0 2.05E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.76E-17 0.00E+00 0.00E+00 0.00E+00 2.91E-18
 1472.0 1.38E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.19E-16 0.00E+00 0.00E+00 0.00E+00 1.86E-17
 1482.0 2.33E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.04E-17 0.00E+00 0.00E+00 0.00E+00 2.89E-18
 1490.0 2.51E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.22E-16 0.00E+00 0.00E+00 0.00E+00 2.91E-17
 1501.0 3.35E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.00E-17 0.00E+00 0.00E+00 0.00E+00 3.49E-18
 1506.0 2.79E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.51E-16 0.00E+00 0.00E+00 0.00E+00 2.76E-17
 1512.0 4.46E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.05E-17 0.00E+00 0.00E+00 0.00E+00 4.13E-18
 1522.0 3.53E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.24E-16 0.00E+00 0.00E+00 0.00E+00 2.90E-17
 1535.0 5.58E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.20E-17 0.00E+00 0.00E+00 0.00E+00 3.82E-18
 1546.0 3.39E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.20E-16 0.00E+00 0.00E+00 0.00E+00 1.93E-17
 1555.0 7.44E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.09E-17 0.00E+00 0.00E+00 0.00E+00 3.52E-18
 1570.0 1.12E-16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.08E-16 0.00E+00 0.00E+00 0.00E+00 3.54E-18
 1575.0 6.32E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.15E-17 0.00E+00 0.00E+00 0.00E+00 1.66E-18
 1600.0 1.86E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.86E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1625.0 1.49E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.83E-18 0.00E+00 8.07E-18 0.00E+00 0.00E+00
 1650.0 2.23E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.57E-18 0.00E+00 1.67E-17 0.00E+00 0.00E+00
 1675.0 2.79E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.28E-18 0.00E+00 2.16E-17 0.00E+00 0.00E+00
 1700.0 2.49E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.98E-18 0.00E+00 1.99E-17 0.00E+00 0.00E+00
 1820.0 7.00E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-19 7.00E-20 4.90E-19 0.00E+00 4.00E-20
 1821.0 7.00E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.97E-20 0.00E+00 4.90E-19 0.00E+00 1.10E-19
 1850.0 2.12E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.73E-21 0.00E+00 1.48E-20 0.00E+00 3.68E-21
 1860.0 1.25E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.55E-20 0.00E+00 8.72E-20 0.00E+00 2.23E-20
 1870.0 7.02E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.36E-21 0.00E+00 4.89E-20 0.00E+00 1.29E-20
 1880.0 5.09E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.82E-21 0.00E+00 3.54E-20 0.00E+00 9.65E-21
 1890.0 2.76E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.02E-21 0.00E+00 1.92E-20 0.00E+00 5.38E-21
 1900.0 2.35E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.46E-21 0.00E+00 1.63E-20 0.00E+00 4.71E-21
 1910.0 1.62E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.62E-21 0.00E+00 1.12E-20 0.00E+00 3.33E-21
 1920.0 1.58E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.50E-21 0.00E+00 1.10E-20 0.00E+00 3.34E-21
 1930.0 1.49E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.35E-21 0.00E+00 1.03E-20 0.00E+00 3.23E-21
 1940.0 1.64E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.41E-21 0.00E+00 1.14E-20 0.00E+00 3.64E-21
 1950.0 1.81E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.47E-21 0.00E+00 1.25E-20 0.00E+00 4.12E-21
